riverflow,CSOspills,cso15,cso18
1.798,43.7277,19.1757,24.552
0.617,61.6914,49.3923,12.2991
0.4735,11.6523,4.5819,7.0704
0.50225,569.8521,369.37605,200.47605
0.5455,2.6487,1.73895,0.90975
1.48725,62.9664,33.6528,29.3136
1.88375,10.19535,0,10.19535
2.214,573.171,355.43295,217.73805
2.81475,801.2172,496.5954,304.6218
4.965,791.68545,469.96425,321.7212
10.49425,490.36395,305.3034,185.06055
15.19225,667.42185,387.32265,280.0992
17.59375,472.28385,280.93695,191.3469
17.9455,67.81755,18.5709,49.24665
16.655,1.4748,0,1.4748
1.02925,535.9371,304.6824,231.2547
1.2225,759.3642,492.4152,266.949
1.38625,558.56265,369.8961,188.66655
1.5615,0.22365,0,0.22365
0.2535,0.3,0,0.3
0.26125,73.2477,25.4964,47.7513
0.35375,70.81515,40.7877,30.02745
0.4485,17.64765,0.741,16.90665
0.71625,7.4058,0,7.4058
0.78,197.7987,134.23005,63.56865
0.8195,6.9522,4.47705,2.47515
0.8195,13.62825,1.3416,12.28665
0.855,123.49785,85.9791,37.51875
0.8645,347.35335,170.25615,177.0972
1.07075,468.44925,314.18325,154.266
1.535,10.80885,8.3547,2.45415
1.4905,1.6944,1.6944,0
1.368,1.2414,0,1.2414
0.64125,0.15,0,0.15
0.694,0.45,0,0.45
1.41625,16.25115,0,16.25115
1.526,52.09755,11.757,40.34055
3.85775,5.2809,0,5.2809
5.42575,4.827,0,4.827
6.83375,0.5424,0,0.5424
8.68675,111.3978,55.0098,56.388
10.77225,0.4575,0,0.4575
11.9035,279.9834,143.11095,136.87245
12.43625,280.3569,160.85385,119.50305
11.2345,163.34925,75.10005,88.2492
10.1,320.49,155.25615,165.23385
9.957,589.93995,354.53085,235.4091
10.979,238.5516,101.98935,136.56225
12.91,272.8932,126.5961,146.2971
14.836,64.3578,22.7343,41.6235
2.47225,2.8446,0,2.8446
